group,variable,N,Mean,SD,P10,P25,Median,P75,P90,mean_diff_soe_minus_nonsoe,t_stat,p_value,stars
Full,lev,40846,0.4061820867787798,0.19756512477067897,0.1450266589088594,0.24640395790603953,0.39923864804351217,0.5527521676316436,0.6759972624164778,0.11676741938377777,57.47111663602959,0.0,***
Full,npr,40846,0.037779331069577565,0.058801444539539775,-0.01247398097190585,0.01388252071708465,0.03737046567780495,0.06693395390631802,0.10044226234467485,-0.006234232177111269,-11.084710235622815,1.666515084666217e-28,***
Full,size,40846,22.297301826461588,1.3584961978829637,20.790675074451322,21.340985041208384,22.069709334948932,23.0223124693055,24.098772430037194,1.0767933834732553,73.11793047613698,0.0,***
Full,tang,40846,0.20503452612253759,0.15163292676819087,0.0340672472291975,0.08688572224497253,0.1743591310095977,0.28986454232905995,0.4216277068988733,0.04869826073952854,27.30349736904142,3.665141391733832e-161,***
Full,growth,40846,0.146582632453655,0.29760417640417547,-0.0585912398294835,0.00766364790316785,0.08021148228491155,0.19131474266415166,0.3892508405779985,-0.047210532955635376,-16.25884351636482,3.338375796180782e-59,***
Full,ndts,40846,0.023628361165393533,0.014841563309126175,0.006745343392741901,0.012415236220871824,0.0210473420610628,0.03217078372243223,0.04388947019887275,0.0021105566725348017,12.804797518307184,2.067777614524472e-37,***
SOE,lev,13293,0.48494849490396297,0.19474517127019836,0.21385069213618751,0.3365925582101671,0.4919697178723021,0.6349633470549902,0.7433621173975602,0.11676741938377777,57.47111663602959,0.0,***
SOE,npr,13293,0.03357397928051751,0.047593124740536334,-0.0012931725693342993,0.0115939680681609,0.0306060957092545,0.0551289502697791,0.08694840873699802,-0.006234232177111269,-11.084710235622815,1.666515084666217e-28,***
SOE,size,13293,23.023661521286996,1.5081317934836362,21.24835950481114,21.927845705612494,22.85089838999067,23.903084766830467,24.96818639222395,1.0767933834732553,73.11793047613698,0.0,***
SOE,tang,13293,0.23788433217836266,0.184845498951041,0.02886218587069654,0.0845082546752226,0.1941313524975992,0.3597911266824727,0.5259740116658238,0.04869826073952854,27.30349736904142,3.665141391733832e-161,***
SOE,growth,13293,0.11473638521949203,0.25292681391611993,-0.05598053456703714,0.0027368067481851,0.0672432460097647,0.1560888282084109,0.2943180793797989,-0.047210532955635376,-16.25884351636482,3.338375796180782e-59,***
SOE,ndts,13293,0.025052054256475925,0.01631768809599404,0.00584204837139378,0.0123561067088158,0.0224123082521396,0.0349830011803825,0.04741028892090326,0.0021105566725348017,12.804797518307184,2.067777614524472e-37,***
NonSOE,lev,27553,0.3681810755201852,0.18742910244307054,0.1279976650999069,0.2144139105005008,0.3556937084701984,0.5041111804286197,0.6251858746855192,0.11676741938377777,57.47111663602959,0.0,***
NonSOE,npr,27553,0.03980821145762878,0.06340654632660751,-0.019138128837145572,0.0153247286482432,0.0417024004658967,0.0719811972913913,0.10581831582648955,-0.006234232177111269,-11.084710235622815,1.666515084666217e-28,***
NonSOE,size,27553,21.94686813781374,1.1230676739720864,20.672978272146846,21.17303325121504,21.793580318290793,22.56461707880648,23.387078403257487,1.0767933834732553,73.11793047613698,0.0,***
NonSOE,tang,27553,0.18918607143883412,0.12973132280581762,0.036852113356810184,0.0879066115985078,0.1675465375086867,0.2684561060938534,0.36992975528411937,0.04869826073952854,27.30349736904142,3.665141391733832e-161,***
NonSOE,growth,27553,0.1619469181751274,0.31577228643872773,-0.06010431611896018,0.0103305410044955,0.0873329945629874,0.2110891386735126,0.43428914917358585,-0.047210532955635376,-16.25884351636482,3.338375796180782e-59,***
NonSOE,ndts,27553,0.022941497583941123,0.014022866704500698,0.007152400081051221,0.0124483757308413,0.0205402532875298,0.0308802972088646,0.04200939047682878,0.0021105566725348017,12.804797518307184,2.067777614524472e-37,***
